numb_features,RSS,R_squared,features,min_RSS,max_R_squared
1,80453.27663738995,0.9976932185166879,"('GHI',)",80453.27663738995,0.9976932185166879
2,0.061691354099159455,0.9999999982311663,"('GHI', 'DP')",0.061691354099159455,0.9999999982311663
3,5.5365430735078636e-05,0.9999999999984126,"('GHI', 'WS', 'RH')",5.5365430735078636e-05,0.9999999999984126
4,7.282923197462593e-05,0.9999999999979118,"('GHI', 'WS', 'RH', 'DP')",7.282923197462593e-05,0.9999999999979118
5,7.630288525685314e-05,0.9999999999978123,"('GHI', 'DHI', 'WS', 'RH', 'T')",7.630288525685314e-05,0.9999999999978123
6,8.222203493424948e-05,0.9999999999976427,"('GHI', 'DHI', 'WS', 'RH', 'T', 'DP')",8.222203493424948e-05,0.9999999999976427
7,8.751559751145997e-05,0.9999999999974908,"('GHI', 'DHI', 'DNI', 'WS', 'RH', 'T', 'DP')",8.751559751145997e-05,0.9999999999974908
