numb_features,RSS,R_squared,features,min_RSS,max_R_squared
1,80453.27663738995,0.9976932185166879,"('GHI',)",80453.27663738995,0.9976932185166879
1,9664724.241845967,0.7228900070423397,"('DHI',)",80453.27663738995,0.9976932185166879
1,7622736.089493741,0.7814385293134596,"('DNI',)",80453.27663738995,0.9976932185166879
1,32469769.32963526,0.06901662943323505,"('WS',)",80453.27663738995,0.9976932185166879
1,12555890.334252,0.639993589570108,"('RH',)",80453.27663738995,0.9976932185166879
1,21446705.002788875,0.38507337368658245,"('T',)",80453.27663738995,0.9976932185166879
1,1550714.351321829,0.955537433637935,"('DP',)",80453.27663738995,0.9976932185166879
2,80453.26986263129,0.997693218710936,"('GHI', 'DHI')",0.061691354099159455,0.9999999982311663
2,80453.2698618256,0.9976932187109591,"('GHI', 'DNI')",0.061691354099159455,0.9999999982311663
2,2952.527134804373,0.9999153442195494,"('GHI', 'WS')",0.061691354099159455,0.9999999982311663
2,0.061714485201713264,0.999999998230503,"('GHI', 'RH')",0.061691354099159455,0.9999999982311663
2,964.8043404708574,0.9999723368285215,"('GHI', 'T')",0.061691354099159455,0.9999999982311663
2,0.061691354099159455,0.9999999982311663,"('GHI', 'DP')",0.061691354099159455,0.9999999982311663
2,80453.26986322686,0.9976932187109189,"('DHI', 'DNI')",0.061691354099159455,0.9999999982311663
2,5196927.289718922,0.8509920771024069,"('DHI', 'WS')",0.061691354099159455,0.9999999982311663
2,47372.163433314854,0.9986417305298214,"('DHI', 'RH')",0.061691354099159455,0.9999999982311663
2,4833183.45026328,0.8614214541097216,"('DHI', 'T')",0.061691354099159455,0.9999999982311663
2,1931.8692491057218,0.9999446088413266,"('DHI', 'DP')",0.061691354099159455,0.9999999982311663
2,1640084.5505229998,0.9529749833650102,"('DNI', 'WS')",0.061691354099159455,0.9999999982311663
2,64160.92381643368,0.9981603579468985,"('DNI', 'RH')",0.061691354099159455,0.9999999982311663
2,1347670.4173697128,0.9613591727480847,"('DNI', 'T')",0.061691354099159455,0.9999999982311663
2,5586.439519889463,0.9998398238607459,"('DNI', 'DP')",0.061691354099159455,0.9999999982311663
2,962548.8103694904,0.9724014997853733,"('WS', 'RH')",0.061691354099159455,0.9999999982311663
2,17806541.00145942,0.4894452932086719,"('WS', 'T')",0.061691354099159455,0.9999999982311663
2,57267.812639024545,0.998357999384153,"('WS', 'DP')",0.061691354099159455,0.9999999982311663
2,1544562.3277543378,0.9557138263797043,"('RH', 'T')",0.061691354099159455,0.9999999982311663
2,1544560.2559116492,0.9557138857842251,"('RH', 'DP')",0.061691354099159455,0.9999999982311663
2,1544561.9892809808,0.9557138360845181,"('T', 'DP')",0.061691354099159455,0.9999999982311663
3,80453.26986480277,0.9976932187108738,"('GHI', 'DHI', 'DNI')",5.5365430735078636e-05,0.9999999999984126
3,2952.5271485923986,0.999915344219154,"('GHI', 'DHI', 'WS')",5.5365430735078636e-05,0.9999999999984126
3,0.06170566494028234,0.9999999982307559,"('GHI', 'DHI', 'RH')",5.5365430735078636e-05,0.9999999999984126
3,964.3750598504623,0.9999723491369897,"('GHI', 'DHI', 'T')",5.5365430735078636e-05,0.9999999999984126
3,0.061713152857535446,0.9999999982305412,"('GHI', 'DHI', 'DP')",5.5365430735078636e-05,0.9999999999984126
3,2952.527146193907,0.999915344219223,"('GHI', 'DNI', 'WS')",5.5365430735078636e-05,0.9999999999984126
3,0.061716016544856485,0.999999998230459,"('GHI', 'DNI', 'RH')",5.5365430735078636e-05,0.9999999999984126
3,964.3743263158382,0.9999723491580218,"('GHI', 'DNI', 'T')",5.5365430735078636e-05,0.9999999999984126
3,0.06170992433929942,0.9999999982306338,"('GHI', 'DNI', 'DP')",5.5365430735078636e-05,0.9999999999984126
3,5.5365430735078636e-05,0.9999999999984126,"('GHI', 'WS', 'RH')",5.5365430735078636e-05,0.9999999999984126
3,0.7110117651806935,0.9999999796136485,"('GHI', 'WS', 'T')",5.5365430735078636e-05,0.9999999999984126
3,5.850434590706969e-05,0.9999999999983226,"('GHI', 'WS', 'DP')",5.5365430735078636e-05,0.9999999999984126
3,0.06440486819965162,0.9999999981533635,"('GHI', 'RH', 'T')",5.5365430735078636e-05,0.9999999999984126
3,0.06168488602572053,0.9999999982313518,"('GHI', 'RH', 'DP')",5.5365430735078636e-05,0.9999999999984126
3,0.063189098251194,0.9999999981882225,"('GHI', 'T', 'DP')",5.5365430735078636e-05,0.9999999999984126
3,2952.5271479596954,0.9999153442191724,"('DHI', 'DNI', 'WS')",5.5365430735078636e-05,0.9999999999984126
3,0.061719535574076355,0.9999999982303581,"('DHI', 'DNI', 'RH')",5.5365430735078636e-05,0.9999999999984126
3,964.3749528661532,0.9999723491400572,"('DHI', 'DNI', 'T')",5.5365430735078636e-05,0.9999999999984126
3,0.06171271957532452,0.9999999982305536,"('DHI', 'DNI', 'DP')",5.5365430735078636e-05,0.9999999999984126
3,1279.2160933634048,0.9999633219165128,"('DHI', 'WS', 'RH')",5.5365430735078636e-05,0.9999999999984126
3,282031.03807801084,0.9919135179628559,"('DHI', 'WS', 'T')",5.5365430735078636e-05,0.9999999999984126
3,4.996216457806796,0.9999998567469209,"('DHI', 'WS', 'DP')",5.5365430735078636e-05,0.9999999999984126
3,1931.879347962851,0.9999446085517689,"('DHI', 'RH', 'T')",5.5365430735078636e-05,0.9999999999984126
3,1931.8722799832635,0.9999446087544245,"('DHI', 'RH', 'DP')",5.5365430735078636e-05,0.9999999999984126
