numb_features,RSS,R_squared,features,min_RSS,max_R_squared
1,285847.02481417166,0.9918041047989493,"('GHI',)",285847.02481417166,0.9918041047989493
2,114440.11017641725,0.9967187374071415,"('GHI', 'DNI')",114440.11017641725,0.9967187374071415
3,13912.296690714167,0.9996011022827433,"('GHI', 'DHI', 'T')",13912.296690714167,0.9996011022827433
4,12782.724854959843,0.9996334897193238,"('GHI', 'DHI', 'T', 'DP')",12782.724854959843,0.9996334897193238
5,9068.893577709165,0.9997399738499965,"('GHI', 'DHI', 'DNI', 'T', 'DP')",9068.893577709165,0.9997399738499965
6,11532.08508473816,0.9996693484535459,"('GHI', 'DHI', 'DNI', 'WS', 'T', 'DP')",11532.08508473816,0.9996693484535459
7,16113.839419506103,0.9995379789618076,"('GHI', 'DHI', 'DNI', 'WS', 'RH', 'T', 'DP')",16113.839419506103,0.9995379789618076
