numb_features,RSS,R_squared,features,min_RSS,max_R_squared
1,1236754.3513972675,0.9645393928445295,"('GHI',)",1236754.3513972675,0.9645393928445295
2,318608.1851464594,0.9908647665745169,"('GHI', 'DHI')",318608.1851464594,0.9908647665745169
3,87922.75052180806,0.9974790514278281,"('GHI', 'DHI', 'T')",87922.75052180806,0.9974790514278281
4,65263.17671842327,0.9981287538073221,"('GHI', 'DHI', 'T', 'DP')",65263.17671842327,0.9981287538073221
5,60584.613153979415,0.998262899043539,"('GHI', 'DHI', 'DNI', 'T', 'DP')",60584.613153979415,0.998262899043539
6,57590.11462573525,0.9983487582408952,"('GHI', 'DHI', 'DNI', 'WS', 'T', 'DP')",57590.11462573525,0.9983487582408952
7,56679.165706485364,0.9983748772529106,"('GHI', 'DHI', 'DNI', 'WS', 'RH', 'T', 'DP')",56679.165706485364,0.9983748772529106
